,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3,Dependents_nan,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0,5849,0.0,154.06021505376344,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
1,4583,1508.0,128.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
2,3000,0.0,66.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1
3,2583,2358.0,120.0,360.0,1.0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1
4,6000,0.0,141.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
5,5417,4196.0,267.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1
6,2333,1516.0,95.0,360.0,1.0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1
7,3036,2504.0,158.0,360.0,0.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
8,4006,1526.0,168.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
9,12841,10968.0,349.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
10,3200,700.0,70.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
11,2500,1840.0,109.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
12,3073,8106.0,200.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
13,1853,2840.0,114.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0
14,1299,1086.0,17.0,120.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
15,4950,0.0,125.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
16,3596,0.0,100.0,240.0,1.0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1
17,3510,0.0,76.0,360.0,0.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
18,4887,0.0,133.0,360.0,1.0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0
19,2600,3500.0,115.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1
20,7660,0.0,104.0,360.0,0.0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1
21,5955,5625.0,315.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
22,2600,1911.0,116.0,360.0,0.0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0
23,3365,1917.0,112.0,360.0,0.0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0
24,3717,2925.0,151.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
25,9560,0.0,191.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0
26,2799,2253.0,122.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
27,4226,1040.0,110.0,360.0,1.0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1
